,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Shaquille Harrison,Chi,G,26.86,43,11.3,23.5,18.1,9.2,50,0.78,123,0.496,42,0.381,0.515,0.559,4.9,2,9.7,1.1,15.3,0.81,0.44,0.44,7.8,116.3,100.3
Tobias Harris,Phi,F,28.08,72,34.3,71.4,23.9,7.6,215,0.805,816,0.517,357,0.367,0.527,0.556,19.6,6.9,11.1,3.2,14.6,0.72,0.56,1.44,8.8,112.3,105.9
Isaiah Hartenstein,Hou,C-F,22.28,23,11.6,24.1,14.8,16.8,28,0.679,62,0.71,5,0,0.657,0.674,4.7,3.9,17.7,0.8,10,0.39,0.52,0.7,8.4,127.6,95.5
Josh Hart,Nor,G,25.44,65,27,56.3,15.3,11.4,115,0.739,178,0.584,354,0.342,0.537,0.563,10.1,6.6,12.9,1.7,8.4,0.97,0.35,1.15,7.2,110,104.4
Udonis Haslem,Mia,F,40.18,4,11,23,13.7,7.3,4,0.75,8,0.375,3,0.333,0.409,0.47,3,4,20.3,0.3,3.1,0,0,0.25,5.6,96.9,94.9
Jaxson Hayes,Nor,C-F,20.23,64,16.9,35.1,15,13.4,190,0.647,256,0.676,4,0.25,0.671,0.687,7.4,4.1,12.8,0.9,7.2,0.41,0.88,0.83,7.1,129.3,100.4
Gordon Hayward,Bos,F,30.4,52,33.5,69.7,21.1,11.2,145,0.855,478,0.554,222,0.383,0.561,0.595,17.5,6.7,10.7,4.1,18.8,0.73,0.42,1.85,9.4,118.1,105.5
John Henson,Cle,F-C,29.63,29,14.2,29.6,16.2,13.5,33,0.515,89,0.618,31,0.194,0.533,0.539,5,3.9,15.4,1.5,15.3,0.55,1.1,0.72,8.7,111.5,101.5
John Henson,Det,F-C,29.63,11,17.1,35.7,16.6,20.9,13,0.462,46,0.696,5,0.4,0.686,0.67,6.9,4.4,14.5,1,9.2,0.73,0.91,1.36,7.3,111.5,101
Dewan Hernandez,Tor,C-F,23.68,6,4.7,9.8,29.1,15.6,5,0.6,12,0.333,2,0.5,0.393,0.432,2.3,2.3,26.2,0.5,16.2,0.17,0,0.5,11.8,94.4,80.6
Juancho Hernangomez,Den,F,24.88,34,12.4,25.9,14.3,12.9,25,0.64,50,0.46,60,0.25,0.414,0.442,3.1,2.8,12.6,0.6,6.7,0.15,0.15,0.53,5.6,94.4,108
Juancho Hernangomez,Min,F,24.88,14,29.4,61.2,17,7.6,46,0.609,68,0.485,69,0.42,0.558,0.576,12.9,7.3,13.1,1.3,6.4,1,0.29,0.93,6.8,114.6,106
Willy Hernangomez,Cha,C-F,26.22,31,12.1,25.2,22.9,15.4,59,0.627,117,0.59,22,0.227,0.55,0.576,6.1,4.4,19.6,0.9,13.5,0.32,0.23,0.97,9.6,109.8,103.7
Tyler Herro,Mia,G,20.57,55,27.4,57.1,22.2,11.4,100,0.87,333,0.462,298,0.389,0.52,0.55,13.5,4.1,8.3,2.2,12.7,0.62,0.16,1.58,7.2,102.9,108.3
Kevin Hervey,Okc,F,24.1,10,5.2,10.9,22.8,0,0,0,7,0.571,20,0.15,0.315,0.315,1.7,1.2,12.7,0.5,13.9,0.1,0.1,0,7.7,78,102.5
Mario Hezonja,Por,F-G,25.47,53,16.4,34.3,13.9,14.7,59,0.814,140,0.486,78,0.308,0.477,0.525,4.8,3.5,11.1,0.9,7.5,0.68,0.17,0.79,6,103.3,103.8
Buddy Hield,Sac,G,26.66,72,30.8,64.1,27.2,12.1,136,0.846,475,0.478,688,0.394,0.545,0.565,19.2,4.6,8.3,3,15.5,0.93,0.24,2.33,8.3,106,108.7
George Hill,Mil,G,34.28,59,21.5,44.9,15.5,11.9,101,0.842,200,0.565,176,0.46,0.624,0.659,9.4,3,6.9,3.1,19,0.8,0.08,0.97,8.3,130.3,100.4
Solomon Hill,Mem,F,29.41,48,18.8,39.1,13.3,13.9,38,0.684,86,0.465,146,0.384,0.534,0.551,5.7,3,8.4,2,13.4,0.65,0.15,0.83,6.9,109,106.3
Solomon Hill,Mia,F,29.41,11,17,35.4,14.8,17.4,16,0.875,21,0.333,24,0.292,0.389,0.471,4.5,1.9,6.3,0.9,7.3,1.09,0.45,1,4.6,90.8,105.4
Jaylen Hoard,Por,F,21.38,13,7.9,16.5,17.2,9.6,13,0.615,29,0.517,3,0,0.469,0.504,2.9,2.5,16.3,0.3,5.3,0.38,0,0.31,6.6,112,104.1
Aaron Holiday,Ind,G,23.87,66,24.5,51.1,18.7,12.6,87,0.851,342,0.427,221,0.394,0.491,0.521,9.5,2.3,5.3,3.4,19.1,0.85,0.24,1.32,6.9,104.3,105.8
Jrue Holiday,Nor,G,30.18,61,34.7,72.3,24.6,14.7,182,0.709,660,0.509,346,0.353,0.516,0.537,19.1,4.8,7.4,6.7,29.1,1.62,0.8,3.07,9.8,107.4,108.8
Justin Holiday,Ind,F-G,31.36,73,25,52.1,13.4,7.7,67,0.791,154,0.481,331,0.405,0.567,0.586,8.3,3.3,7.1,1.3,6.7,1.19,0.63,0.59,5.3,113.8,103.9
Rondae Hollis-Jefferson,Tor,F,25.61,60,18.7,39,17.2,12.9,143,0.734,306,0.497,23,0.13,0.476,0.533,7,4.7,13.4,1.8,13.6,0.77,0.38,0.97,8.3,113.7,97.5
Richaun Holmes,Sac,F,26.83,44,28.2,58.8,15.7,11.6,118,0.788,345,0.646,0,0,0.646,0.679,12.3,8.1,16.2,1,5.1,0.93,1.27,1.18,6.6,130.6,99.6
Rodney Hood,Por,G-F,27.82,21,29.5,61.4,13.9,9.4,27,0.778,101,0.515,71,0.493,0.608,0.625,11,3.4,6.1,1.5,7,0.81,0.19,0.9,5.2,120.7,112.4
Al Horford,Phi,C-F,34.2,67,30.2,63,17.5,9.7,80,0.763,426,0.516,283,0.35,0.52,0.536,11.9,6.8,12.4,4,19.2,0.81,0.91,1.19,9.1,114.6,105
Talen Horton-Tucker,Lal,G,19.72,6,13.5,28.2,19.6,15.9,4,0.5,17,0.588,13,0.308,0.533,0.535,5.7,1.2,4.7,1,10.5,1.33,0.17,1,5.6,97.1,95.7
Danuel House Jr.,Hou,F-G,27.19,63,30.4,63.3,13.7,8.5,90,0.811,184,0.549,355,0.363,0.546,0.572,10.5,4.2,7.3,1.3,6.1,1.06,0.54,0.86,5.1,114.1,107.6
Dwight Howard,Lal,C-F,34.69,69,18.9,39.4,14.7,18.6,214,0.514,272,0.732,5,0.6,0.735,0.696,7.5,7.3,21.2,0.7,4.8,0.46,1.14,1.23,7.1,123.5,90
William Howard,Hou,F-G,26.81,2,6.7,13.9,15.6,20,0,0,0,0,4,0,0,0,0,1,7.9,0.5,8.9,0,0,0.5,0,13.8,107.8
Kevin Huerter,Atl,G-F,21.97,56,31.4,65.5,17.1,12,64,0.828,276,0.453,334,0.38,0.517,0.536,12.2,4.1,7,3.8,17.5,0.91,0.48,1.55,7.3,107.4,112
De'Andre Hunter,Atl,F-G,22.7,63,32,66.7,17.5,12.1,144,0.764,379,0.454,304,0.355,0.489,0.521,12.3,4.5,7.6,1.8,7.9,0.7,0.29,1.63,5.8,99.6,110.9
Chandler Hutchison,Chi,F-G,24.3,28,18.8,39.2,19.1,11.4,78,0.59,137,0.496,38,0.316,0.491,0.521,7.8,3.9,11.3,0.9,7.4,0.96,0.25,0.96,6.4,101.2,103.3
Serge Ibaka,Tor,F,30.91,55,27,56.2,24,13.1,124,0.718,488,0.559,182,0.385,0.564,0.583,15.4,8.2,16.1,1.4,8.6,0.51,0.84,1.98,8.3,107.6,96.4
Andre Iguodala,Mia,G-F,36.55,21,19.9,41.5,12.8,22.2,15,0.4,41,0.585,47,0.298,0.511,0.507,4.6,3.7,10.4,2.4,16.9,0.67,1,1.29,6.9,100.3,103.6
Ersan Ilyasova,Mil,F,33.25,63,15.7,32.6,16.1,8.8,87,0.828,176,0.545,137,0.365,0.546,0.589,6.6,4.8,15.1,0.8,6.6,0.37,0.27,0.54,7.5,118.7,94.6
Joe Ingles,Uta,F-G,32.87,72,29.7,61.8,15,19.2,94,0.787,200,0.525,353,0.399,0.572,0.595,9.8,3.9,7.2,5.2,24.3,0.9,0.15,1.96,7.9,115.2,105.5
Brandon Ingram,Nor,F,22.95,62,33.9,70.7,28.1,13,368,0.851,712,0.501,384,0.391,0.531,0.587,23.8,6.1,9.5,4.2,19.3,0.98,0.6,3.03,10,111.4,106.8
Kyrie Irving,Bro,G,28.39,20,32.9,68.5,32.6,10.1,102,0.922,274,0.522,142,0.394,0.546,0.595,27.4,5.2,8.1,6.4,36.7,1.35,0.5,2.6,11.8,118.6,104.1
Jonathan Isaac,Orl,F,22.87,34,28.8,60,18.3,11.8,77,0.779,238,0.521,94,0.34,0.518,0.552,11.9,6.8,12.7,1.4,7.4,1.56,2.29,1.44,6.7,106.8,101.5
Wes Iwundu,Orl,F,25.65,52,18.3,38.2,13.7,8.9,97,0.804,150,0.46,82,0.341,0.478,0.546,5.8,2.5,7.4,1.2,8.8,0.48,0.25,0.52,5.7,112.4,105.1
Jaren Jackson Jr.,Mem,F-C,20.92,57,28.5,59.3,24,10.6,186,0.747,385,0.54,368,0.394,0.565,0.593,17.4,4.6,8.5,1.4,7.2,0.68,1.61,1.74,6.8,109.3,100.2
Frank Jackson,Nor,G,22.28,59,13.5,28.1,21.2,11.9,75,0.747,187,0.465,144,0.326,0.476,0.51,6.3,1.4,5.5,1,10.8,0.29,0.07,0.83,6.1,99.6,108.1
Josh Jackson,Mem,G-F,23.51,22,17.3,36.1,22.8,13.4,50,0.7,87,0.54,72,0.319,0.513,0.547,9,3,9.1,1.6,13.1,0.82,0.41,1.27,8.1,103,102.6
Justin Jackson,Dal,F,25.38,65,16.1,33.5,15.4,3.7,50,0.84,178,0.489,163,0.294,0.466,0.496,5.5,2.4,7.7,0.8,6.8,0.23,0.15,0.22,5.5,107.9,109.1
Reggie Jackson,Det,G,30.33,14,27.2,56.7,27,9.8,33,0.788,116,0.388,82,0.378,0.462,0.492,14.9,2.9,6.1,5.1,30.8,0.57,0.07,1.64,8.9,106,112.5
Reggie Jackson,Lac,G,30.33,17,21.3,44.3,19.1,16.9,21,0.905,65,0.492,63,0.413,0.555,0.587,9.5,3,7.3,3.2,21.3,0.29,0.24,1.65,8.5,110.9,101.6
Justin James,Sac,G-F,23.56,35,6.6,13.8,18.7,7,21,0.476,55,0.473,29,0.31,0.47,0.477,2.5,0.9,7.7,0.5,11.2,0.17,0.26,0.2,6.3,100.6,109.3
LeBron James,Lal,F,35.62,67,34.6,72,31.5,15.1,381,0.693,878,0.564,425,0.348,0.55,0.577,25.3,7.8,12.3,10.2,49.1,1.16,0.54,3.9,14.6,115.4,103.8
Amile Jefferson,Orl,F,27.27,18,4.1,8.6,13.4,13,14,0.357,14,0.357,0,0,0.357,0.372,0.8,1.3,16.6,0.2,7.2,0.06,0.17,0.17,5.8,93.9,103.2
DaQuan Jeffries,Sac,G-F,22.96,13,10.9,22.6,13.7,4.5,6,0.833,22,0.682,18,0.278,0.563,0.586,3.8,1.4,7.2,0.5,7.1,0.31,0.08,0.15,5.1,120.8,102.4
Ty Jerome,Pho,G-F,23.11,31,10.6,22,17.9,13,16,0.75,63,0.381,50,0.28,0.398,0.425,3.3,1.5,7.8,1.4,18.2,0.48,0.1,0.58,7.2,91.7,104.9
Alize Johnson,Ind,F,24.31,17,6.9,14.4,15.1,17.3,10,0.7,21,0.429,8,0.375,0.466,0.509,2,2.9,22.8,0.4,7.7,0.18,0.12,0.41,7.7,108.2,97.1
BJ Johnson,Orl,F,24.65,10,8.3,17.2,22.2,14.2,10,0.9,23,0.261,9,0.333,0.328,0.412,3,1.5,9.8,0.3,5.1,0.3,0,0.6,5.3,81.3,108.8
Cameron Johnson,Pho,F,24.45,57,22,45.9,15.7,6.9,57,0.807,133,0.526,272,0.39,0.565,0.586,8.8,3.3,8.3,1.2,7.7,0.61,0.35,0.56,5.9,116.7,108.2
James Johnson,Mia,F,33.48,18,15.6,32.5,16.9,13.9,14,0.571,42,0.548,45,0.356,0.54,0.547,5.7,2.9,10.3,1.2,11.1,0.33,0.72,0.83,6.9,102.6,100
James Johnson,Min,F,33.48,14,24.2,50.4,21.4,18.8,34,0.676,82,0.573,46,0.37,0.566,0.588,12,4.7,10.3,3.8,24.4,1.29,1.43,2.36,9.9,109.1,100.9
Keldon Johnson,San,F-G,20.84,17,17.7,36.8,17.4,10.7,44,0.795,67,0.597,22,0.591,0.669,0.711,9.1,3.4,10.2,0.9,7.2,0.82,0.12,0.76,6.8,130.9,105.5
Stanley Johnson,Tor,F-G,24.21,25,6,12.5,23.1,18.5,16,0.563,35,0.429,24,0.292,0.432,0.454,2.4,1.5,13,0.8,19.4,0.24,0.16,0.6,9.5,89.7,95.6
Tyler Johnson,Pho,G,28.27,31,16.6,34.6,17.3,11.5,32,0.75,88,0.466,83,0.289,0.45,0.481,5.7,1.7,5.6,1.6,13.3,0.39,0.26,0.77,6,98,107.8
Tyler Johnson,Bro,G,28.27,8,24.3,50.5,19.8,5.4,18,1,43,0.419,36,0.389,0.494,0.552,12,3.1,6.7,3,18.6,0.5,0.13,0.63,7.9,121.2,106.7
Nikola Jokic,Den,C,25.49,73,32,66.6,26.6,15.8,301,0.817,816,0.594,255,0.314,0.565,0.605,19.9,9.7,17.1,7,35.2,1.16,0.6,3.08,13.8,118.8,101.5
Derrick Jones Jr.,Mia,F,23.5,59,23.3,48.6,13.9,6.9,123,0.772,217,0.677,132,0.28,0.58,0.62,8.5,3.9,9.5,1.1,6.7,1,0.63,0.51,5.7,125.8,102.5
Damian Jones,Atl,C,25.13,55,16.1,33.6,11.4,11.5,84,0.738,169,0.704,9,0.222,0.685,0.712,5.6,3.7,12.5,0.6,5.6,0.47,0.73,0.51,5.8,137,101.2
Tyus Jones,Mem,G,24.26,65,19,39.5,17.2,10.8,58,0.741,305,0.492,124,0.379,0.514,0.532,7.4,1.6,4.4,4.4,32,0.91,0.09,0.85,7.9,116.1,112.1
DeAndre Jordan,Bro,C,32.07,56,22,45.9,14.1,17.8,122,0.68,287,0.666,0,0,0.666,0.682,8.3,10,23.5,1.9,12.6,0.32,0.93,1.32,9.8,127.5,98.3
Cory Joseph,Sac,G,28.99,72,24.4,50.9,12.9,15.3,70,0.857,253,0.455,159,0.352,0.483,0.517,6.4,2.6,6,3.5,19.1,0.74,0.29,1.11,6.4,110.1,109.6
Mfiondu Kabengele,Lac,F-C,23,12,5.4,11.2,23.5,5.5,5,1,12,0.417,20,0.45,0.578,0.614,3.5,0.9,8.9,0.2,4.8,0.17,0.17,0.17,6.4,118.7,96
Frank Kaminsky,Pho,F-C,27.36,39,19.9,41.5,21,9.6,90,0.678,183,0.53,124,0.331,0.516,0.545,9.7,4.5,12.6,1.9,14.3,0.38,0.26,0.95,8.8,109.5,104.2
Enes Kanter,Bos,C,28.24,58,17,35.3,19.4,12.5,99,0.707,341,0.581,7,0.143,0.573,0.599,8.1,7.4,23.5,1,8.8,0.4,0.71,0.97,9.2,122.1,97
Luke Kennard,Det,G,24.14,28,32.9,68.6,19.8,10.3,75,0.893,159,0.491,183,0.399,0.548,0.589,15.8,3.5,6,4.1,19.2,0.43,0.21,1.54,7.4,117.5,110.8
Michael Kidd-Gilchrist,Cha,F,26.89,12,13.3,27.7,17.6,10.9,9,0.778,36,0.361,17,0.294,0.387,0.421,4,2.9,12,0.8,9.5,0,0.25,0.58,6.3,91.5,104.6
Michael Kidd-Gilchrist,Dal,F,26.89,13,9.3,19.4,8.5,37.2,5,0.8,10,0.4,3,0,0.308,0.395,0.9,2.5,13.9,0.3,4,0.15,0.23,0.69,3.8,70.1,96.5
Stanton Kidd,Uta,F,28.41,4,3.8,8,14.3,40,0,0,2,0,1,0,0,0,0,0.8,10.8,0.3,7.9,0,0,0.5,0,,
Louis King,Det,F,21.36,10,6.2,13,17.1,8.2,3,0,10,0.4,11,0.364,0.476,0.448,2,1,9.1,0.5,11.8,0.2,0,0.2,6.5,93.4,98.5
Maxi Kleber,Dal,F,28.54,74,25.5,53.2,13.9,9.5,93,0.849,195,0.605,319,0.373,0.577,0.605,9.1,5.3,10.8,1.2,6.3,0.34,1.14,0.78,6.1,121.8,105.5
Brandon Knight,Cle,G,28.7,16,15.1,31.4,19.1,14.9,13,0.308,22,0.409,64,0.297,0.436,0.431,4.9,1.3,4.6,1.9,17.9,0.31,0.13,1,6.1,89.7,111.6
Brandon Knight,Det,G,28.7,9,24.6,51.2,22.2,19.6,21,0.762,14,0.357,67,0.388,0.543,0.576,11.6,2.3,5.4,4.2,25.6,0.56,0.11,2.44,7.8,106.2,108.2
Kevin Knox II,Nyk,F,21.01,65,17.9,37.4,17.9,9.2,101,0.653,202,0.391,199,0.327,0.44,0.47,6.4,2.8,8.4,0.9,7.4,0.35,0.43,0.69,5.6,97.3,107.9
John Konchar,Mem,G,24.4,19,9.5,19.9,10.3,15.6,2,0.5,27,0.704,10,0.5,0.716,0.713,2.8,2.5,13.7,1.2,16.2,0.37,0.16,0.37,8.6,138.9,109.9
Furkan Korkmaz,Phi,G-F,23.06,72,21.7,45.1,18.4,8.8,102,0.755,208,0.476,356,0.402,0.556,0.578,9.8,2.3,5.9,1.1,7.3,0.57,0.22,0.82,5.4,110.3,107.8
Luke Kornet,Chi,C-F,25.09,36,15.5,32.3,16.3,6.6,28,0.714,79,0.646,108,0.287,0.521,0.539,6,2.3,8.3,0.9,8.5,0.31,0.72,0.39,6,111.8,106
Kyle Korver,Mil,G-F,39.41,58,16.6,34.5,15.5,13.6,41,0.854,56,0.482,237,0.418,0.599,0.62,6.7,2.1,6.3,1.2,9.2,0.43,0.21,0.84,6.2,112.2,99.2
Rodions Kurucs,Bro,F,22.52,47,14.5,30.3,14.7,19.2,38,0.632,87,0.529,90,0.367,0.54,0.555,4.6,2.9,10.4,1.1,10.4,0.53,0.11,0.98,6.8,100.5,97.8
Kyle Kuzma,Lal,F,25.06,61,25,52.1,22.8,11,155,0.735,396,0.518,272,0.316,0.5,0.531,12.8,4.5,9.8,1.3,7.6,0.46,0.43,1.49,6.7,102.2,102.7
Skal Labissiere,Por,F-C,24.41,33,17.2,35.8,14.3,15.7,33,0.758,134,0.582,13,0.231,0.561,0.588,5.8,5.1,15.6,1.3,10.1,0.21,0.94,0.91,7.8,120,101.4
Jeremy Lamb,Ind,G-F,28.21,46,28.1,58.5,19.6,8.7,110,0.836,321,0.508,158,0.335,0.506,0.547,12.5,4.3,8.4,2.1,10.5,1.17,0.48,1.09,6.9,107.7,103
Romeo Langford,Bos,G-F,20.81,32,11.6,24.1,11.8,10.8,25,0.72,53,0.434,27,0.185,0.381,0.434,2.5,1.3,5.9,0.4,4.5,0.22,0.25,0.34,3.8,94.5,104.8
Zach LaVine,Chi,G-F,25.43,60,34.8,72.4,31.7,13.3,334,0.802,716,0.496,484,0.38,0.526,0.568,25.5,4.8,7.7,4.2,21.7,1.45,0.47,3.43,9.2,106.9,108.4
Vic Law,Orl,F,24.66,8,7.7,16.1,15.8,8.8,6,0.333,11,0.455,7,0.143,0.361,0.363,1.9,1.4,9.6,0.4,6.7,0.25,0,0.25,5.3,79.1,102.5
Jake Layman,Min,F,26.44,23,22,45.8,17.7,11.1,32,0.75,107,0.533,72,0.333,0.52,0.544,9.1,2.5,5.9,0.7,4.4,0.74,0.39,1.04,4.6,102.2,108.3
TJ Leaf,Ind,F,23.29,28,7.9,16.5,20,7.9,16,0.438,68,0.456,18,0.278,0.448,0.451,3,2.5,17.3,0.3,5.7,0.36,0.14,0.29,6.6,97.9,98.3
Jalen Lecque,Pho,G,20.17,5,6.3,13.2,17.3,15.5,2,1,6,0.667,4,0,0.4,0.46,2,0.4,3.5,0.4,8.7,0,0,0.4,4.3,85.5,108.5
Courtney Lee,Dal,G,34.87,24,14.4,30,11.9,11.4,7,0.857,35,0.543,47,0.447,0.616,0.629,4.5,1.3,4.9,0.5,4.7,0.75,0.25,0.46,4,115.9,105
Damion Lee,Gol,G-F,27.81,49,29,60.5,19,10.6,126,0.873,272,0.471,239,0.356,0.5,0.548,12.7,4.9,9.1,2.7,14.4,1.02,0.12,1.37,7.6,108,108.4
Alex Len,Atl,C,27.16,40,18.6,38.8,18.8,11.9,81,0.63,205,0.624,56,0.25,0.571,0.588,8.7,5.8,16.7,1.1,8.7,0.5,0.83,1,8.2,114.5,104
Alex Len,Sac,C,27.16,15,15,31.3,16.5,18.7,24,0.708,56,0.589,3,0.667,0.61,0.64,5.9,6.1,22.7,0.5,5.2,0.2,1,1.07,7,118.2,97.1
Kawhi Leonard,Lac,F,29.13,57,32.4,67.5,33,10.2,402,0.886,808,0.506,325,0.378,0.524,0.589,27.1,7.1,11.3,4.9,26.5,1.81,0.58,2.61,12.1,117,101.9
Meyers Leonard,Mia,C,28.46,51,20.3,42.2,12.1,13.7,28,0.643,106,0.623,128,0.414,0.622,0.627,6.1,5.1,13.9,1.1,7.6,0.27,0.29,0.76,6.4,114,100.7
Caris LeVert,Bro,G,25.97,45,29.6,61.6,29.4,12.5,197,0.711,512,0.451,220,0.364,0.48,0.514,18.7,4.2,7.3,4.4,25,1.18,0.22,2.6,9.5,102.2,106.8
Damian Lillard,Por,G,30.09,66,37.5,78.1,30.3,11,518,0.888,674,0.525,674,0.401,0.563,0.628,30,4.3,6,8,34.4,1.06,0.33,2.94,10.8,126.1,115.5
Nassir Little,Por,F-G,20.51,48,11.9,24.8,13.7,8.1,44,0.636,92,0.554,59,0.237,0.477,0.505,3.6,2.3,9.9,0.5,5,0.27,0.31,0.31,5.4,108,105.8
Kevon Looney,Gol,F,24.52,20,13.1,27.3,15.9,13.4,12,0.75,65,0.431,14,0.071,0.373,0.403,3.4,3.3,13.7,1,11.1,0.6,0.3,0.65,6.8,93,102.5
Brook Lopez,Mil,C,32.37,68,26.7,55.7,18.3,8.7,152,0.836,346,0.549,325,0.314,0.511,0.551,12,4.6,8.5,1.5,7.4,0.68,2.4,1.03,6.5,108.9,97.6
Robin Lopez,Mil,C,32.37,66,14.5,30.2,16.6,16.4,53,0.528,194,0.577,105,0.333,0.55,0.554,5.4,2.4,8.3,0.7,6.3,0.15,0.68,0.95,5.8,100.9,98.3
Kevin Love,Cle,F,31.94,56,31.8,66.2,23.2,14.6,219,0.854,337,0.537,390,0.374,0.55,0.599,17.6,9.8,17.1,3.2,15.4,0.59,0.34,2.52,10.3,112.5,110.1
Kyle Lowry,Tor,G,34.39,58,36.2,75.4,23.1,15.7,343,0.857,337,0.504,466,0.352,0.518,0.59,19.4,5,7.3,7.5,30.6,1.41,0.45,3.07,9.9,115.9,99.9
Timothe Luwawu-Cabarrot,Bro,G-F,25.27,47,18.1,37.8,16.8,10.8,81,0.852,109,0.505,160,0.388,0.55,0.599,7.8,2.7,7.7,0.6,4.9,0.38,0.13,0.79,5.1,113.4,100.9
Trey Lyles,San,F,24.78,63,20.2,42,13.6,9.7,45,0.733,175,0.503,168,0.387,0.541,0.557,6.4,5.7,15.3,1.1,7.2,0.44,0.44,0.62,6.8,113.1,107
Daryl Macon,Mia,G,24.71,4,3.5,7.3,15.6,40,0,0,1,0,2,0.5,0.5,0.5,0.8,0,0,0.3,9.6,0,0,0.5,0,,
J.P. Macura,Cle,G,25.2,1,0.6,1.3,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Josh Magette,Orl,G,30.71,8,4.7,9.9,23.8,23.9,2,0.5,11,0.364,4,0.25,0.367,0.378,1.5,0.8,8.5,0.6,19.3,0.38,0.13,0.63,7.6,71.2,98.8
Ian Mahinmi,Was,C,33.78,38,21.3,44.3,15.7,14.7,113,0.619,185,0.535,26,0.192,0.505,0.543,7.4,5.8,14.8,1.3,8.3,0.82,1.16,1.18,7.2,109.6,102.9
Thon Maker,Det,F-C,23.47,60,12.9,26.9,16.1,15.7,110,0.664,129,0.55,64,0.344,0.539,0.582,4.7,2.8,12.2,0.7,8,0.42,0.65,0.75,6.5,111.3,101.6
Terance Mann,Lac,G-F,23.82,41,8.8,18.4,12.6,16.5,27,0.667,59,0.508,20,0.35,0.513,0.545,2.4,1.3,7.9,1.3,19.3,0.27,0.12,0.44,7.2,113.3,98.3
Boban Marjanovic,Dal,C,32,42,10,20.9,26.9,11.7,57,0.754,193,0.606,17,0.235,0.586,0.615,6.9,4.7,24.5,0.5,8.3,0.19,0.24,0.74,10.1,118.8,96.6
Lauri Markkanen,Chi,F-C,23.23,50,29.8,62.2,21.1,11,153,0.824,274,0.518,317,0.344,0.517,0.56,14.7,6.3,11.6,1.5,7.6,0.84,0.48,1.62,7,107.9,107.5
Caleb Martin,Cha,F,24.88,18,17.6,36.7,15,13.9,21,0.81,47,0.362,37,0.541,0.56,0.595,6.2,2.1,6.6,1.3,11.1,0.67,0.39,0.83,5.8,113.2,105.9
Cody Martin,Cha,F,24.88,48,18.8,39.2,13.6,15.7,65,0.646,130,0.546,77,0.234,0.473,0.505,5,3.3,9.6,2,15.8,0.81,0.19,0.92,6.8,104.7,105.9
Jeremiah Martin,Bro,G,24.15,9,11,22.9,26.7,6.3,14,0.786,35,0.543,18,0.278,0.5,0.541,7.1,1.1,5.2,2,30.8,0.78,0.22,0.44,9.1,115.8,104.3
Kelan Martin,Min,F,25.03,31,16,33.3,17.9,9.3,31,0.968,85,0.541,96,0.26,0.461,0.506,6.4,3.1,10.2,0.7,6.8,0.23,0.29,0.65,6,100.7,106.1
Frank Mason,Mil,G,26.37,9,13.1,27.3,24.3,15.8,17,0.588,30,0.567,21,0.286,0.51,0.53,6.9,2.1,8,3.2,35,0.56,0.11,1.22,11,109.2,96.8
Garrison Mathews,Was,G,23.81,18,12.6,26.3,14.4,10.1,34,0.912,10,0.5,46,0.413,0.598,0.691,5.4,1.3,5.8,0.6,5.8,0.44,0.06,0.44,5.1,132.2,105.9
Wesley Matthews,Mil,G,33.84,67,24.4,50.8,12.5,8.7,68,0.765,125,0.472,297,0.364,0.524,0.547,7.4,2.5,5,1.4,7.1,0.55,0.13,0.64,4.9,108.5,101.9
Luc Mbah a Moute,Hou,F,33.93,3,8.2,17.1,11.6,14.5,2,0.5,3,0.667,2,0,0.4,0.425,1.7,0.7,4.3,0,0,0.67,0,0.33,0,82.3,114.2
Patrick McCaw,Tor,G,24.81,37,24.5,51.1,9.4,14.6,18,0.722,91,0.484,71,0.324,0.485,0.5,4.6,2.3,5,2.1,11.5,1.05,0.11,0.78,4.6,105.1,104
